add_feature,rmse
init,0.164901149
N-life,0.164858558
N-LivingAreaError,0.164889305
N-LivingAreaProp,0.164901342
N-LivingAreaProp2,0.164901149
N-ExtraSpace,0.164889244
N-ExtraSpace-2,0.164901149
N-TotalRooms,0.164888796
N-AvRoomSize,0.164895814
N-ExtraRooms,0.16488812
N-ValueProp,0.164878386
N-GarPoolAC,0.164889429
N-location,0.164874774
N-location-2,0.164878369
N-ValueRatio,0.164841792
N-TaxScore,0.164897253
N-taxdelinquencyyear-2,0.1648902
N-taxdelinquencyyear-3,0.1648902
N-taxdeline-life,0.164888166
N-zip_count,0.164871051
N-city_count,0.164874858
N-county_count,0.164901152
N-ACInd,0.164888947
N-HeatInd,0.164888941
N-PropType,0.164889706
N-structuretaxvaluedollarcnt-2,0.164899343
N-structuretaxvaluedollarcnt-3,0.164899343
N-Avg-structuretaxvaluedollarcnt,0.164873806
N-Dev-structuretaxvaluedollarcnt,0.164897533
2_scores,0.164831
3_scores,0.164788
4_scores,0.164786